RecipeID,IngredientID
537716,0
537716,1
537716,2
537716,3
537716,4
537716,5
537716,6
537716,7
537716,8
537716,9
537716,10
537716,11
537716,12
537671,13
537671,14
537671,15
537671,16
537671,17
537671,18
537671,19
537671,20
537671,21
537671,22
537671,23
537671,24
537543,25
537543,26
537543,27
537543,28
537543,29
537543,30
537543,31
537543,32
537543,33
537543,34
537485,35
537485,36
537485,33
537485,37
537485,38
537459,39
537459,40
537459,41
537458,42
537458,43
537458,44
537458,45
537458,46
537458,47
537458,48
537458,49
537458,50
537458,3
537458,4
537429,51
537429,52
537429,0
537429,33
537429,53
537429,54
537429,55
537429,56
537429,57
537429,58
537429,59
537429,60
537429,61
537429,62
537351,63
537351,64
537351,65
537351,66
537351,67
537351,68
537351,69
537331,70
537331,71
537331,72
537331,73
537331,67
537331,74
537331,75
537331,76
537331,27
537331,33
537331,77
537331,78
537331,79
537331,80
537331,81
537331,82
537331,83
537331,44
537331,84
537331,85
537331,86
537323,87
537323,88
537323,89
537323,90
537323,91
537323,92
537319,93
537319,94
537319,95
537319,96
537319,97
537319,98
537319,38
537319,99
537241,25
537241,100
537241,14
537241,101
537241,95
537241,33
537241,3
537241,78
537241,102
537241,103
537241,32
537241,104
537241,54
537241,105
537241,106
537241,38
537241,43
537241,44
537241,77
537241,107
537241,68
537242,25
537242,108
537242,100
537242,109
537242,110
537242,21
537242,111
537242,23
537175,112
537175,113
537175,93
537175,114
537175,3
537175,27
537175,33
537089,115
537089,14
537089,71
537089,116
537089,117
537089,100
537089,78
537089,118
537089,25
537089,119
537089,120
537089,109
537089,121
537089,122
537089,16
537089,21
537089,123
537089,22
537076,124
537076,52
537076,0
537076,125
537076,49
537076,126
537076,127
537076,128
537076,129
537076,130
537076,131
537076,132
537076,133
537076,134
537076,135
537071,42
537071,134
537071,52
537071,0
537071,25
537071,136
537071,137
537071,89
537071,6
537071,138
537071,139
537071,140
537071,45
537073,0
537073,141
537073,52
537073,2
537073,142
537073,55
537073,49
537073,143
537073,80
537073,144
537073,145
537073,146
537073,147
537073,148
537073,149
537073,150
537073,151
537073,152
537073,134
537073,45
537073,153
537073,154
537073,155
537039,156
537039,89
537039,27
537039,157
537039,55
537039,158
537039,159
537039,160
537039,3
537039,161
537039,141
537039,162
537039,163
537039,73
537037,164
537037,49
537037,165
537037,166
537037,167
537037,0
537037,159
537037,168
537037,169
537037,3
537037,161
537037,27
536990,170
536990,49
536990,171
536990,172
536990,94
536990,58
536990,161
536990,173
536990,80
536990,174
536990,175
536990,176
536977,0
536977,177
536977,157
536977,178
536977,49
536977,161
536977,179
536977,180
536977,90
536977,181
536977,182
536977,183
536977,184
536977,14
536977,12
536973,185
536973,27
536973,186
536973,146
536973,3
536973,161
536973,187
536973,188
536973,189
536973,2
536973,49
536973,190
536973,191
536973,192
536973,193
536973,194
536973,195
536973,196
536973,197
536973,126
536973,198
536973,6
536973,199
536973,200
536973,201
536930,44
536930,2
536930,49
536930,178
536930,158
536930,63
536930,202
536930,90
536930,203
536930,204
536930,8
536930,205
536930,206
536930,207
536859,100
536859,208
536859,209
536859,59
536859,210
536859,25
536859,211
536859,212
536836,117
536836,213
536836,102
536836,78
536836,31
536836,104
536836,30
536836,214
536836,32
536836,118
536836,25
536836,14
536836,215
536836,216
536836,217
536836,218
536836,116
536836,21
536836,219
536836,119
536836,220
536836,221
536836,6
536836,20
536836,222
536834,5
536834,223
536834,49
536834,224
536834,97
536834,94
536834,225
536834,45
536834,226
536834,67
536834,3
536834,227
536834,228
536834,90
536834,229
536843,141
536843,27
536843,230
536843,3
536843,161
536843,126
536843,186
536843,231
536843,48
536843,232
536843,129
536843,0
536843,233
536843,234
536843,235
536845,25
536845,0
536845,3
536845,126
536845,236
536845,49
536845,237
536845,231
536845,238
536845,239
536845,48
536845,240
536747,117
536747,78
536747,241
536747,25
536747,97
536747,242
536747,243
536747,244
536747,71
536747,245
536747,115
536747,246
536747,21
536747,247
536747,43
536747,248
536747,72
536747,249
536747,250
536747,251
536734,252
536734,253
536734,44
536726,254
536726,255
536726,44
536726,0
536726,49
536726,256
536726,240
536726,72
536726,257
536726,3
536726,258
536728,259
536728,260
536728,261
536729,262
536729,263
536729,155
536729,264
536729,265
536696,266
536696,157
536696,267
536696,49
536696,268
536696,269
536696,240
536696,231
536696,270
536700,271
536700,49
536700,272
536700,170
536700,273
536700,54
536700,274
536700,275
536700,276
536700,277
536700,278
536700,279
536700,280
536700,3
536688,281
536688,282
536688,219
536688,89
536688,93
536688,44
536679,283
536679,89
536679,6
536679,111
536679,94
536679,14
536679,116
536679,103
536679,38
536678,284
536678,285
536678,44
536678,33
536678,286
536678,287
536678,203
536678,288
536678,253
536678,289
536678,290
536678,291
536678,292
536678,82
536662,293
536662,134
536662,101
536662,294
536662,3
536662,82
536662,196
536662,295
536662,195
536662,296
536662,81
536662,2
536662,49
536662,97
536662,297
536643,298
536643,299
536643,300
536643,157
536643,301
536643,63
536643,269
536643,302
536643,226
536643,1
536643,105
536643,303
536643,304
536643,305
536643,306
536643,5
536610,33
536610,3
536610,43
536610,25
536610,72
536610,307
536547,308
536547,309
536547,153
536547,144
536547,3
536547,310
536547,223
536547,311
536575,312
536575,313
536575,44
536575,110
536575,49
536575,314
536575,89
536575,168
536575,183
536575,138
536575,231
536575,315
536575,316
536575,317
536575,48
536564,301
536564,14
536564,318
536564,231
536564,137
536564,319
536564,33
536564,27
536564,320
536564,291
536564,321
536564,322
536564,323
536564,184
536564,72
536564,172
536564,324
536568,44
536568,94
536568,33
536568,103
536568,3
536568,116
536568,222
536568,78
536568,325
536568,14
536568,326
536568,215
536583,137
536583,165
536583,14
536583,292
536583,27
536583,68
536583,316
536603,327
536603,3
536603,161
536603,328
536603,49
536603,329
536603,0
536603,153
536603,330
536603,97
536603,331
536603,332
536603,144
536524,333
536524,334
536524,57
536524,265
536524,66
536524,0
536524,68
536524,122
536524,184
536524,335
536501,336
536501,141
536501,3
536501,161
536501,57
536501,143
536501,337
536501,144
536501,338
536501,145
536501,339
536501,192
536501,340
536501,341
536501,198
536501,342
536501,343
536501,184
536501,344
536506,345
536506,346
536506,347
536506,348
536506,349
536506,350
536506,18
536506,222
536506,351
536506,352
536506,111
536506,122
536506,20
536506,353
536506,25
536506,3
536506,116
536506,108
536506,71
536506,21
536474,25
536474,183
536474,93
536474,354
536474,291
536474,12
536474,0
536474,355
536474,356
536474,129
536474,168
536474,240
536474,79
536474,357
536469,345
536469,358
536469,359
536469,360
536469,219
536469,25
536469,361
536469,362
536469,6
536469,363
536469,22
536469,364
536469,365
536469,366
536465,204
536465,44
536465,49
536465,291
536465,367
536465,14
536465,368
536465,369
536465,370
536465,371
536465,372
536465,309
536465,176
536465,79
536465,357
536475,137
536475,373
536475,230
536475,374
536475,79
536475,375
536475,370
536475,292
536475,14
536475,140
536476,191
536476,376
536476,216
536476,302
536476,278
536476,377
536476,301
536476,378
536476,291
536476,379
536476,380
536476,3
536476,14
536476,381
536476,0
536476,382
536476,383
536476,384
536476,223
536476,385
536473,372
536473,386
536473,43
536473,108
536473,364
536473,387
536473,388
536473,97
536473,389
536473,390
536473,354
536473,22
536464,237
536464,25
536464,57
536464,231
536464,375
536464,133
536464,368
536464,43
536464,12
536436,137
536436,5
536436,157
536436,49
536436,110
536436,3
536436,74
536436,67
536436,289
536436,391
536436,338
536436,4
536436,269
536436,68
536436,71
536436,392
536436,393
536436,231
536446,394
536446,395
536446,79
536446,49
536446,146
536446,31
536446,196
536446,80
536446,396
536446,268
536446,309
536446,33
536446,204
536446,397
536446,398
536446,199
536446,97
536443,399
536443,400
536443,401
536443,268
536443,212
536443,82
536443,402
536443,140
536443,403
536443,97
536455,98
536455,89
536455,2
536455,404
536455,231
536455,79
536455,82
536455,49
536455,27
536455,141
536455,405
536455,198
536455,146
536455,406
536455,407
536455,375
536455,255
536455,48
536455,408
536411,110
536411,409
536411,102
536411,3
536411,44
536411,382
536411,94
536411,215
536411,14
536411,95
536411,363
536401,410
536401,0
536401,316
536401,411
536401,332
536401,412
536401,155
536401,413
536401,314
536401,85
536401,49
536401,257
536401,338
536401,414
536401,3
536382,415
536382,129
536382,309
536382,226
536382,153
536382,316
536384,110
536384,3
536384,416
536384,111
536384,78
536384,44
536384,27
536384,89
536383,417
536383,44
536383,418
536383,419
536383,420
536383,421
536383,309
536383,3
536383,4
536383,14
536383,90
536383,45
536383,137
536383,422
536363,93
536363,183
536363,332
536363,395
536363,316
536363,423
536363,0
536363,137
536363,275
536363,44
536363,203
536363,48
536360,33
536360,111
536360,3
536360,25
536360,14
536360,425
536360,426
536360,158
536360,157
536360,55
536360,49
536360,427
536360,161
536360,67
536360,68
536345,268
536345,428
536345,429
536345,93
536345,6
536345,142
536345,430
536345,431
536345,229
536345,97
536345,144
536345,3
536345,258
536345,432
536345,153
536346,33
536346,3
536346,44
536346,424
536346,433
536346,0
536346,2
536346,434
536346,435
536346,27
536346,6
536346,161
536346,436
536346,309
536346,429
536346,437
536346,198
536346,438
536322,94
536322,68
536322,121
536322,439
536322,440
536322,441
536318,0
536318,442
536318,443
536318,157
536318,49
536318,444
536318,52
536318,406
536318,445
536318,296
536318,146
536318,341
536305,25
536305,446
536305,263
536305,111
536305,68
536305,72
536305,122
536305,43
536305,45
536305,95
536305,27
