FollowingId,FollowerId,FolloweeId
0,415898,1535
1,2419566,1535
2,793359,3212
3,1243997,3288
4,1461200,3288
5,1582583,3288
6,2127500,3288
7,1802635734,3288
8,2001731539,3288
9,2002080765,3288
10,141277,4291
11,327115,4291
12,1560022,4291
13,2709028,4291
14,45964472,4291
15,1802628970,4291
16,2000168997,4291
17,2001320116,4291
18,408454,4439
19,2001581399,4439
20,2000999263,4740
21,2747565,6357
22,2001047963,6357
23,2001193066,6357
24,2001997103,6357
25,93430,6651
26,2002174727,6702
27,856902,6836
28,2000034751,6836
29,2001868370,8377
30,1625919,10404
31,171683,11176
32,2001588371,11176
33,2776394,13796
34,2002107850,13796
35,555123,19129
36,94226,20480
37,120121,20480
38,126140,20480
39,202640,20480
40,371590,20480
41,656706,20480
42,1232945,20480
43,1304040,20480
44,1497901,20480
45,1555117,20480
46,2202972,20480
47,2205315,20480
48,2216746,20480
49,2342131,20480
50,2398511,20480
51,2406790,20480
52,2685107,20480
53,2704931,20480
54,2706599,20480
55,2749523,20480
56,2830147,20480
57,1800224896,20480
58,1801583467,20480
59,1802005284,20480
60,1802625199,20480
61,1802634955,20480
62,1802720493,20480
63,1802875391,20480
64,1802879096,20480
65,1803755178,20480
66,2000127526,20480
67,2000275553,20480
68,2000348671,20480
69,2000366625,20480
70,2000434134,20480
71,2000536642,20480
72,2000703628,20480
73,2000884503,20480
74,2001018299,20480
75,2001336694,20480
76,2001349221,20480
77,2001655651,20480
78,2002104250,20480
79,2002268725,20480
80,2002297430,20480
81,2002349085,20480
82,115758,20855
83,2698717,20855
84,1802650924,20855
85,2001227606,20855
86,2002215325,20855
87,2002064103,22174
88,258721,24485
89,1702915,24485
90,2665338,24485
91,2000828425,24485
92,48150,25455
93,82296,25455
94,120566,25455
95,143946,25455
96,187738,25455
97,206747,25455
98,242766,25455
99,490058,25455
100,510718,25455
101,671222,25455
102,1133190,25455
103,1199502,25455
104,1352632,25455
105,1901916,25455
106,1974537,25455
107,2192199,25455
108,2206084,25455
109,2208810,25455
110,2226794,25455
111,2411353,25455
112,2414156,25455
113,2675113,25455
114,2778246,25455
115,2786941,25455
116,2788486,25455
117,2844201,25455
118,2931189,25455
119,46082756,25455
120,1800108094,25455
121,1802549429,25455
122,2000029650,25455
123,2000145766,25455
124,2000221206,25455
125,2000386977,25455
126,2000402435,25455
127,2000726697,25455
128,2001021013,25455
129,2001090064,25455
130,2001310201,25455
131,2001322694,25455
132,2001326120,25455
133,2001412709,25455
134,2001699784,25455
135,2001975677,25455
136,2002162456,25455
137,2002232072,25455
138,1289786,26451
139,2001731539,27724
140,2420841,27922
141,1802915525,28177
142,256143,28346
143,2000967023,28346
144,2001431887,28346
145,2001740552,28346
146,2001747320,28346
147,2779770,29196
148,2002210409,29196
149,2000176524,31074
150,2000461431,31074
151,2001735535,32412
152,1122967,32957
153,129958,33186
154,165623,33186
155,456138,33186
156,914114,33186
157,936601,33186
158,963993,33186
159,1424434,33186
160,1436597,33186
161,2067838,33186
162,2427159,33186
163,2442063,33186
164,2602981,33186
165,2729621,33186
166,2935562,33186
167,1800953684,33186
168,1802406564,33186
169,1802644667,33186
170,1802849525,33186
171,1802849661,33186
172,1802911548,33186
173,1803088363,33186
174,1803594167,33186
175,2000127483,33186
176,2000128719,33186
177,2000252586,33186
178,2000260775,33186
179,2000376014,33186
180,2000728451,33186
181,2000878722,33186
182,2000935501,33186
183,2000968559,33186
184,2001074845,33186
185,2001217432,33186
186,2001219444,33186
187,2001310706,33186
188,2001357352,33186
189,2001399209,33186
190,2001423712,33186
191,2001451670,33186
192,2001560928,33186
193,2001649881,33186
194,2001739925,33186
195,2001957550,33186
196,2001968091,33186
197,2002160188,33186
198,2002273749,33186
199,2002210409,35251
200,1604964,37449
201,2743089,37449
202,1802574530,37449
203,2001745369,37449
204,2002061400,37449
205,1803321506,37779
206,334723,38961
207,1803049776,38961
